customerId,accountId,balance
IND0325,ACC0001,687
IND0221,ACC0002,589
IND0147,ACC0003,194
IND0284,ACC0004,809
IND0458,ACC0005,634
IND0093,ACC0006,259
IND0516,ACC0007,549
IND0091,ACC0008,151
IND0487,ACC0009,4
IND0473,ACC0010,824
IND0096,ACC0011,830
IND0331,ACC0012,557
IND0126,ACC0013,276
IND0213,ACC0014,558
IND0318,ACC0015,504
IND0196,ACC0016,774
IND0445,ACC0017,205
IND0295,ACC0018,921
IND0450,ACC0019,347
IND0507,ACC0020,144
IND0456,ACC0021,498
IND0385,ACC0022,215
IND0350,ACC0023,352
IND0407,ACC0024,761
IND0062,ACC0025,285
IND0038,ACC0026,296
IND0437,ACC0027,116
IND0253,ACC0028,543
IND0300,ACC0029,640
IND0332,ACC0030,743
IND0286,ACC0031,343
IND0373,ACC0032,560
IND0500,ACC0033,679
IND0426,ACC0034,856
IND0103,ACC0035,657
IND0446,ACC0036,995
IND0386,ACC0037,776
IND0432,ACC0038,455
IND0051,ACC0039,191
IND0437,ACC0040,274
IND0450,ACC0041,884
IND0491,ACC0042,125
IND0314,ACC0043,321
IND0540,ACC0044,172
IND0454,ACC0045,625
IND0450,ACC0046,52
IND0041,ACC0047,783
IND0467,ACC0048,942
IND0168,ACC0049,696
IND0007,ACC0050,784
IND0069,ACC0051,869
IND0006,ACC0052,57
IND0537,ACC0053,775
IND0073,ACC0054,891
IND0409,ACC0055,621
IND0418,ACC0056,234
IND0261,ACC0057,674
IND0361,ACC0058,425
IND0008,ACC0059,862
IND0025,ACC0060,33
IND0008,ACC0061,605
IND0138,ACC0062,4
IND0473,ACC0063,135
IND0050,ACC0064,39
IND0007,ACC0065,701
IND0186,ACC0066,81
IND0086,ACC0067,935
IND0431,ACC0068,974
IND0381,ACC0069,772
IND0252,ACC0070,764
IND0107,ACC0071,315
IND0261,ACC0072,557
IND0137,ACC0073,558
IND0407,ACC0074,931
IND0366,ACC0075,945
IND0018,ACC0076,837
IND0119,ACC0077,477
IND0464,ACC0078,893
IND0545,ACC0079,739
IND0330,ACC0080,237
IND0368,ACC0081,986
IND0353,ACC0082,721
IND0214,ACC0083,758
IND0420,ACC0084,19
IND0214,ACC0085,696
IND0093,ACC0086,373
IND0144,ACC0087,969
IND0270,ACC0088,522
IND0223,ACC0089,790
IND0308,ACC0090,705
IND0197,ACC0091,590
IND0229,ACC0092,919
IND0216,ACC0093,321
IND0100,ACC0094,583
IND0522,ACC0095,785
IND0257,ACC0096,55
IND0498,ACC0097,989
IND0346,ACC0098,220
IND0059,ACC0099,260
IND0095,ACC0100,396
IND0302,ACC0101,106
IND0287,ACC0102,587
IND0289,ACC0103,824
IND0147,ACC0104,741
IND0169,ACC0105,438
IND0535,ACC0106,262
IND0481,ACC0107,798
IND0020,ACC0108,327
IND0331,ACC0109,801
IND0204,ACC0110,337
IND0115,ACC0111,332
IND0262,ACC0112,923
IND0471,ACC0113,310
IND0018,ACC0114,114
IND0215,ACC0115,172
IND0004,ACC0116,965
IND0055,ACC0117,148
IND0049,ACC0118,728
IND0379,ACC0119,20
IND0393,ACC0120,648
IND0315,ACC0121,616
IND0216,ACC0122,919
IND0263,ACC0123,544
IND0406,ACC0124,390
IND0292,ACC0125,853
IND0294,ACC0126,724
IND0338,ACC0127,143
IND0238,ACC0128,97
IND0190,ACC0129,844
IND0401,ACC0130,229
IND0517,ACC0131,408
IND0121,ACC0132,387
IND0194,ACC0133,560
IND0461,ACC0134,774
IND0235,ACC0135,317
IND0456,ACC0136,62
IND0421,ACC0137,685
IND0253,ACC0138,326
IND0477,ACC0139,477
IND0534,ACC0140,859
IND0014,ACC0141,377
IND0049,ACC0142,606
IND0465,ACC0143,27
IND0403,ACC0144,758
IND0027,ACC0145,970
IND0005,ACC0146,378
IND0392,ACC0147,733
IND0263,ACC0148,220
IND0442,ACC0149,409
IND0469,ACC0150,19
IND0020,ACC0151,497
IND0109,ACC0152,199
IND0511,ACC0153,47
IND0038,ACC0154,574
IND0002,ACC0155,323
IND0055,ACC0156,137
IND0074,ACC0157,560
IND0457,ACC0158,90
IND0526,ACC0159,819
IND0187,ACC0160,149
IND0449,ACC0161,644
IND0232,ACC0162,968
IND0391,ACC0163,614
IND0507,ACC0164,505
IND0105,ACC0165,865
IND0054,ACC0166,203
IND0064,ACC0167,631
IND0464,ACC0168,266
IND0354,ACC0169,307
IND0235,ACC0170,284
IND0466,ACC0171,652
IND0265,ACC0172,664
IND0052,ACC0173,576
IND0305,ACC0174,135
IND0063,ACC0175,205
IND0177,ACC0176,478
IND0233,ACC0177,868
IND0536,ACC0178,420
IND0176,ACC0179,414
IND0365,ACC0180,417
IND0524,ACC0181,733
IND0031,ACC0182,833
IND0358,ACC0183,32
IND0489,ACC0184,562
IND0483,ACC0185,600
IND0190,ACC0186,133
IND0141,ACC0187,793
IND0209,ACC0188,237
IND0285,ACC0189,352
IND0548,ACC0190,568
IND0383,ACC0191,683
IND0289,ACC0192,878
IND0339,ACC0193,44
IND0448,ACC0194,178
IND0048,ACC0195,808
IND0349,ACC0196,649
IND0034,ACC0197,60
IND0310,ACC0198,841
IND0391,ACC0199,669
IND0244,ACC0200,869
IND0005,ACC0201,34
IND0020,ACC0202,712
IND0440,ACC0203,944
IND0255,ACC0204,504
IND0472,ACC0205,659
IND0534,ACC0206,140
IND0401,ACC0207,781
IND0447,ACC0208,276
IND0158,ACC0209,920
IND0043,ACC0210,615
IND0279,ACC0211,638
IND0360,ACC0212,902
IND0319,ACC0213,853
IND0020,ACC0214,224
IND0241,ACC0215,374
IND0312,ACC0216,36
IND0078,ACC0217,782
IND0240,ACC0218,71
