transactionId,accountId,transactionDay,category,transactionAmount
T0001,A27,1,GG,338.11
T0002,A5,1,BB,677.89
T0003,A32,1,DD,499.86
T0004,A42,1,DD,801.81
T0005,A19,1,BB,14.42
T0006,A46,1,FF,476.88
T0007,A29,1,FF,439.49
T0008,A49,1,DD,848.90
T0009,A47,1,BB,400.42
T00010,A23,1,BB,416.36
T00011,A45,1,GG,662.98
T00012,A2,1,DD,775.37
T00013,A33,1,BB,185.40
T00014,A44,1,CC,397.19
T00015,A43,1,CC,825.05
T00016,A16,1,BB,786.14
T00017,A33,1,DD,352.64
T00018,A14,1,DD,733.77
T00019,A40,1,FF,435.50
T00020,A32,1,EE,284.34
T00021,A25,1,AA,291.76
T00022,A35,1,EE,457.87
T00023,A17,1,AA,788.24
T00024,A34,1,AA,738.28
T00025,A21,1,GG,857.83
T00026,A46,1,FF,827.91
T00027,A35,1,FF,245.30
T00028,A48,1,AA,193.57
T00029,A35,1,DD,756.32
T00030,A4,1,DD,485.44
T00031,A18,1,GG,379.86
T00032,A13,1,DD,996.67
T00033,A44,1,EE,882.63
T00034,A44,1,AA,949.92
T00035,A4,1,EE,732.07
T00036,A43,1,CC,546.37
T00037,A5,1,BB,495.22
T00038,A43,1,AA,393.46
T00039,A41,1,FF,181.65
T00040,A44,1,FF,139.55
T00041,A14,1,CC,351.16
T00042,A43,1,AA,886.73
T00043,A14,1,FF,191.18
T00044,A1,1,DD,227.64
T00045,A5,1,CC,183.10
T00046,A10,1,BB,557.57
T00047,A10,1,CC,423.94
T00048,A7,1,DD,650.23
T00049,A33,1,GG,146.46
T00050,A16,1,CC,353.66
T00051,A20,1,GG,490.24
T00052,A13,1,GG,662.13
T00053,A31,1,DD,115.88
T00054,A42,1,GG,350.65
T00055,A35,1,AA,826.10
T00056,A16,1,EE,820.45
T00057,A6,2,EE,959.67
T00058,A48,2,AA,797.19
T00059,A30,2,GG,958.29
T00060,A6,2,BB,47.89
T00061,A5,2,BB,171.30
